conv_id,error_type,dataset_has,predicted_has,dataset_type,predicted_type,reasoning,conversatie
conv_simple_0001,FP,False,True,none,incomplet,zero-shot score: 0.2752,"USER: Bună, aș dori să actualizez numărul meu de telefon. | ASSISTANT: Bună! Sunt bucuros să vă ajut. Pentru a actualiza numărul de telefon, vă voi solicita să confirmați identitatea. Care este numărul dumneavoastră de cont? | USER: Contul meu este 1234567890. | ASSISTANT: Mulțumesc. Care este noul număr de telefon pe care doriți să-l înregistrați? | USER: Noul număr este 0721234567. | ASSISTANT: Perfect. Am actualizat numărul dumneavoastră de telefon la 0721234567. Veți primi o confirmare prin SMS în scurt timp."
conv_simple_0002,FP,False,True,none,incomplet,zero-shot score: 0.4062,"USER: Trebuie să schimb adresa de domiciliu. | ASSISTANT: Desigur, vă pot ajuta cu actualizarea adresei de domiciliu. Vă rog să-mi spuneți noua adresă completă. | USER: Strada Principală 45, Apartament 12, București, cod postal 010101. | ASSISTANT: Mulțumesc. Am actualizat adresa dumneavoastră de domiciliu. Modificarea va fi efectivă în termen de 24 de ore."
conv_simple_0003,FP,False,True,none,incomplet,zero-shot score: 0.2428,"USER: Bună, vreau să modific adresa de email. | ASSISTANT: Bună! Voi actualiza adresa de email cu plăcere. Care este noua adresă de email pe care doriți să o înregistrați? | USER: Noua adresă este newemail@example.com. | ASSISTANT: Excelent. Am actualizat adresa de email la newemail@example.com. Veți primi o confirmare pe noua adresă."
conv_simple_0004,FP,False,True,none,incomplet,zero-shot score: 0.3241,"USER: Salut, am schimbat locul de muncă și trebuie să actualizez datele mele. | ASSISTANT: Bună! Sunt aici pentru a vă ajuta. Care sunt datele pe care doriți să le actualizați? | USER: Trebuie să actualizez ocupația și compania unde lucrez. | ASSISTANT: Înțeleg. Vă rog să-mi spuneți noua ocupație și numele companiei. | USER: Sunt Inginer Software la TechCorp Solutions. | ASSISTANT: Perfect. Am actualizat ocupația dumneavoastră la Inginer Software și compania la TechCorp Solutions. Datele vor fi valide imediat."
conv_simple_0005,FP,False,True,none,nealiniat_context,zero-shot score: 0.2525,"USER: Bună, aș vrea să actualizez datele de contact de urgență. | ASSISTANT: Bună! Voi actualiza contactul de urgență imediat. Vă rog să-mi furnizați numele și numărul de telefon al persoanei de contact. | USER: Contactul de urgență este Ana Popescu, 0723456789. | ASSISTANT: Mulțumesc. Am actualizat contactul de urgență cu Ana Popescu, 0723456789. Datele vor fi active în sistem."
conv_simple_0006,FP,False,True,none,contradictoriu,zero-shot score: 0.2222,"USER: Bună, aș dori să închid contul meu de economii. | ASSISTANT: Bună! Înțeleg că doriți să închideți contul de economii. Pentru a procesa această solicitare, trebuie să verific câteva detalii. Contul dumneavoastră este activ și nu are solicitări în așteptare? | USER: Da, contul este activ și nu am nicio solicitare în curs. | ASSISTANT: Excelent. Voi procesa închiderea contului dumneavoastră. Fondurile rămase vor fi transferate pe contul principal desemnat. Veți primi o confirmare în 24 de ore."
conv_simple_0007,FP,False,True,none,incomplet,zero-shot score: 0.3122,USER: Vreau să închid contul de depozit pe care l-am deschis acum doi ani. | ASSISTANT: Bună! Solicitarea dumneavoastră de închidere a contului de depozit a fost înregistrată. Trebuie să știu dacă doriți să repatriați fondurile pe alt cont bancar sau să le retrageți în numerar. | USER: Vreau să transfer fondurile pe contul meu curent. | ASSISTANT: Perfect. Voi aranja transferul fondurilor pe contul curent dumneavoastră. Operațiunea va fi finalizată în maximum 2 zile lucrătoare.
conv_simple_0008,FP,False,True,none,contradictoriu,zero-shot score: 0.3436,"USER: Bună, nu mai am nevoie de contul de credit și aș vrea să-l închid. | ASSISTANT: Bună! Înțeleg că doriți să închideți contul de credit. Înainte de a procesa solicitarea, trebuie să verific dacă aveți balanță datorată pe acest cont. | USER: Nu, am achitat deja toate datoriile și contul este cu balanță zero. | ASSISTANT: Excelent! Deoarece balanța este zero, pot procesa imediat închiderea contului. Vă voi trimite o confirmare prin email în cel mult 1 oră."
conv_simple_0009,FP,False,True,none,incomplet,zero-shot score: 0.2766,"USER: Salutare, am decis să-mi fac ordine în conturi și aș dori să închid contul de economii secundar. | ASSISTANT: Salutare! Voi ajuta cu plăcere. Pentru a închide contul de economii secundar, va trebui să confirmați acțiunea și să specificați unde doriți transferul fondurilor. | USER: Sunt de acord, iar fondurile să meargă pe contul principal. | ASSISTANT: Mulțumesc pentru confirmare. Solicitarea de închidere a fost acceptată și fondurile vor fi transferate pe contul principal dumneavoastră în termen de 1-2 zile lucrătoare. | USER: Mulțumesc pentru ajutor! | ASSISTANT: Cu plăcere! Dacă aveți alte întrebări, sunt aici pentru a vă ajuta."
conv_simple_0010,FP,False,True,none,contradictoriu,zero-shot score: 0.2769,"USER: Bună, vreau să închid contul de pensii complementare pe care l-am deschis cu ani în urmă. | ASSISTANT: Bună! Solicitarea dumneavoastră a fost înregistrată. Închiderea unui cont de pensii complementare necesită o procedură specifică. Puteți confirma că sunteți conștient de implicațiile fiscale? | USER: Da, sunt conștient și doresc să procedez. | ASSISTANT: Bine. Voi trimite documentele necesare la adresa dumneavoastră. Trebuie să le semnați și să le returnați pentru a finaliza procesul de închidere."
