conv_id,error_type,dataset_has,predicted_has,dataset_type,predicted_type,reasoning,conversatie
conv_simple_0002,FP,False,True,none,halucinatie,"În turnul 2, voicebotul afirmă că a actualizat adresa de domiciliu ('Am actualizat adresa dumneavoastră de domiciliu.') fără a solicita pași de verificare sau confirmare, ceea ce este implauzibil pentru o operațiune bancară sensibilă și nu este justificat de conversație.","USER: Trebuie să schimb adresa de domiciliu. | ASSISTANT: Desigur, vă pot ajuta cu actualizarea adresei de domiciliu. Vă rog să-mi spuneți noua adresă completă. | USER: Strada Principală 45, Apartament 12, București, cod postal 010101. | ASSISTANT: Mulțumesc. Am actualizat adresa dumneavoastră de domiciliu. Modificarea va fi efectivă în termen de 24 de ore."
conv_simple_0004,FP,False,True,none,halucinatie,"În ultimul său răspuns, voicebotul afirmă că a actualizat imediat datele utilizatorului și că acestea sunt valide, acțiune care este implauzibilă și nejustificată fără pași suplimentari de verificare sau confirmare într-un sistem bancar real.","USER: Salut, am schimbat locul de muncă și trebuie să actualizez datele mele. | ASSISTANT: Bună! Sunt aici pentru a vă ajuta. Care sunt datele pe care doriți să le actualizați? | USER: Trebuie să actualizez ocupația și compania unde lucrez. | ASSISTANT: Înțeleg. Vă rog să-mi spuneți noua ocupație și numele companiei. | USER: Sunt Inginer Software la TechCorp Solutions. | ASSISTANT: Perfect. Am actualizat ocupația dumneavoastră la Inginer Software și compania la TechCorp Solutions. Datele vor fi valide imediat."
conv_simple_0008,FP,False,True,none,halucinatie,"În turn-ul 2, voicebotul afirmă că poate procesa imediat închiderea contului bazându-se doar pe declarația neverificată a utilizatorului privind balanța zero, ceea ce nu este justificat de procedura standard de verificare necesară într-un context bancar, creând o așteptare nejustificată.","USER: Bună, nu mai am nevoie de contul de credit și aș vrea să-l închid. | ASSISTANT: Bună! Înțeleg că doriți să închideți contul de credit. Înainte de a procesa solicitarea, trebuie să verific dacă aveți balanță datorată pe acest cont. | USER: Nu, am achitat deja toate datoriile și contul este cu balanță zero. | ASSISTANT: Excelent! Deoarece balanța este zero, pot procesa imediat închiderea contului. Vă voi trimite o confirmare prin email în cel mult 1 oră."
conv_simple_0010,FP,False,True,none,nealiniat_context,"Voicebotul afirmă că va trimite documentele la adresa utilizatorului, însă utilizatorul nu a furnizat nicio adresă în cadrul conversației, iar botul nu a solicitat sau confirmat una, ignorând astfel contextul actual al dialogului în turnul 2.","USER: Bună, vreau să închid contul de pensii complementare pe care l-am deschis cu ani în urmă. | ASSISTANT: Bună! Solicitarea dumneavoastră a fost înregistrată. Închiderea unui cont de pensii complementare necesită o procedură specifică. Puteți confirma că sunteți conștient de implicațiile fiscale? | USER: Da, sunt conștient și doresc să procedez. | ASSISTANT: Bine. Voi trimite documentele necesare la adresa dumneavoastră. Trebuie să le semnați și să le returnați pentru a finaliza procesul de închidere."
conv_simple_0011,FP,False,True,none,halucinatie,"În ultimul răspuns, voicebotul afirmă că va trimite un link pe email-ul utilizatorului, deși utilizatorul este un client nou și nu a furnizat nicio adresă de email în conversație, acționând ca și cum ar deține această informație.","USER: Bună, aș dori să deschid un cont bancar. | ASSISTANT: Bună! Sunt bucuros să vă ajut. Pentru a deschide un cont, vă voi ghida prin procesul de înregistrare. Aveți deja o relație cu banca noastră? | USER: Nu, sunt client nou. | ASSISTANT: Excelent. Voi avea nevoie de actul dumneavoastră de identitate și de o dovadă a domiciliului. Puteți veni la una dintre sucursalele noastre sau putem continua online. Ce varianta preferați? | USER: Prefer online, dacă se poate. | ASSISTANT: Perfect. Voi trimite un link de completare a formularului pe email-ul dumneavoastră. Veți primi instrucțiuni detaliate pentru încărcarea documentelor. Procesul durează aproximativ 2-3 zile lucrătoare."
conv_simple_0012,FP,False,True,none,halucinatie,"În al treilea răspuns, voicebotul afirmă că deschiderea contului se va finaliza în aceeași zi, ceea ce este o afirmație exagerată și, cel mai probabil, neadevărată pentru un cont de afaceri, care necesită de obicei procese suplimentare de verificare.","USER: Vreau să deschid un cont curent pentru afacerea mea. | ASSISTANT: Bună! Vă pot ajuta cu deschiderea unui cont curent pentru afacere. Aveți deja înregistrată firma la registrul de comerț? | USER: Da, sunt înregistrat. | ASSISTANT: Foarte bine. Voi avea nevoie de certificatul de înregistrare, dovada fiscală și documentele de identitate ale administratorului. Pot fi aduse la sucursală sau trimise online. Ce preferați? | USER: Voi veni la sucursală cu documentele. | ASSISTANT: Excelent! Puteți veni la orice sucursală a noastră în orele de program. Deschiderea contului se va finaliza în același zi."
conv_simple_0013,FP,False,True,none,irelevant,"În turnul 4, răspunsul voicebotului oferă detalii despre contul de economii după ce utilizatorul a solicitat explicit să vorbească cu un angajat, făcând informația irelevantă pentru cererea imediată a utilizatorului.","USER: Bună, doresc să deschid un cont de economii. | ASSISTANT: Bună! Sunt aici să vă asist. Contul de economii este o opțiune excelentă. Aveți o carte de identitate valabilă? | USER: Da, am cartea de identitate la mine. Pot vorbi cu un angajat? Am mai multe întrebări | ASSISTANT: Perfect. Contul de economii oferă dobândă competitivă și fără comisioane de administrare. Un agent al băncii vă va contacta în scurt timp."
conv_simple_0022,FP,False,True,none,contradictoriu,"În a doua replică, voicebotul afirmă că extrasul va fi trimis în cel mult 24 de ore, iar în a treia replică, afirmă că extrasul va fi disponibil 'în scurt timp', ceea ce reprezintă o contradicție privind timpul de livrare.","USER: Bună, aș dori să obțin un extras de cont. | ASSISTANT: Bună. Sunt bucuros să vă ajut cu extrasul de cont. Pentru care perioadă doriți extrasul: luna curentă, luna trecută, sau un interval personalizat? | USER: Vreau extrasul pentru luna februarie. | ASSISTANT: Perfect. Extrasul de cont pentru luna februarie va fi trimis la adresa de e-mail înregistrată în sistem în cel mult 24 de ore. Doriți să actualizați adresa de e-mail înainte de trimitere? | USER: Nu, adresa de e-mail este corectă. Mulțumesc. | ASSISTANT: Cu plăcere. Extrasul va fi disponibil în scurt timp."
conv_simple_0026,FP,False,True,none,contradictoriu,"În turn-ul 2, voicebotul se contrazice cu privire la timpul de livrare a extrasului de cont, afirmând că va fi disponibil 'în scurt timp', deși în turn-ul 1 a menționat 'în cel mult 48 de ore'.","USER: Aș vrea un extras de cont pentru ultimele 6 luni. | ASSISTANT: Bună. Voi procesa cererea pentru extrasul de cont din ultimele 6 luni. Acesta va fi trimis la adresa de e-mail înregistrată în sistem în cel mult 48 de ore. Este în regulă? | USER: Da, este perfect. Mulțumesc. | ASSISTANT: Cu plăcere. Extrasul va fi disponibil în scurt timp. Dacă aveți alte întrebări, nu ezitați să ne contactați."
conv_simple_0029,FP,False,True,none,nealiniat_context,"În turnul final, voicebotul confirmă înregistrarea raportului pentru o tranzacție de 500 lei, dar ignoră informația relevantă despre locația plății ('la o benzinărie') furnizată de utilizator.","USER: Am găsit o plată neautorizată pe contul meu și trebuie s-o raportez urgent. | ASSISTANT: Bună! Sunt aici să vă ajut. Puteți preciza data plății și suma pentru a putea înregistra raportul? | USER: Da, 500 de lei, astazi dimineață, la o benzinărie. | ASSISTANT: Mulțumesc. Am înregistrat raportul pentru tranzacția de astazi de 500 lei. Vă vom contacta în maxim 24 de ore cu informații suplimentare și pașii următori."
